"id";"Liga";"Data";"Partida_id";"Time_azul_tag";"Time_azul_resultado";"Time_vermelho_resultado";"Time_vermelho_tag";"Duração_da_partida";"Topo_azul";"Campeão_topo_azul";"Caçador_azul";"Campeão_caçador_azul";"Meio_azul";"Campeão_meio_azul";"Atirador_azul";"Campeão_atirador_azul";"Suporte_azul";"Campeão_suporte_azul";"Topo_vermelho";"Campeão_topo_vermelho";"Caçador_vermelho";"Campeão_caçador_vermelho";"Meio_vermelho";"Campeão_meio_vermelho";"Atirador_vermelho";"Campeão_atirador_vermelho";"Suporte_vermelho";"Campeão_suporte_vermelho"
1;"CBLOL";"2023-01-23";1;"LLL";"Vitória";"Derrota";"PNG";"24:00:00";"Robo";"Olaf";"Croc";"Wukong";"Tinowns";"Syndra";"Route";"Lucian";"Ceos";"Nami";"Wizer";"Gnar";"Cariok";"VI";"Dynquedo";"Galio";"Bvoy";"Zeri";"Damage";"Yuumi"
2;"CBLOL";"2023-01-23";2;"LBR";"Vitória";"Derrota";"KBM";"41:13:00";"Kiari";"Kennen";"accez";"VI";"Piloto";"Ryze";"Juliera";"Kalista";"Cavalo";"Ashe";"Lonely";"Jax";"SCARY";"Sejuane";"YURI";"Azir";"DudsTheBoy";"Varus";"scuro";"Heimerding"
